"seller_id","orders","bad_review_rate","ontime_rate","avg_delay_days"
"88460e8ebdecbfecb5f9601833981930",246,0.2967,0.8049,1.6423
"7040e82f899a04d1b434b795a43b4617",208,0.2548,0.9038,0.6010
"7c67e1448b00f6e969d365cea6b010ab",973,0.2528,0.8993,1.1264
"1835b56ce799e6a4dc4eddc053f04066",417,0.2374,0.8825,0.9832
"897060da8b9a21f655304d50fd935913",304,0.2303,0.8816,1.1316
d1c281d3ae149232351cd8c8cc885f0d,214,0.2150,0.9112,0.5561
dc4a0fc896dc34b0d5bfec8438291c80,225,0.2044,0.9333,0.7022
"855668e0971d4dfd7bef1b6a4133b41b",300,0.2033,0.8600,1.3667
"70a12e78e608ac31179aea7f8422044b",312,0.1955,0.8910,0.7917
d2374cbcbb3ca4ab1086534108cc3ab7,514,0.1926,0.9416,0.3696
"5dceca129747e92ff8ef7a997dc4f8ca",322,0.1894,0.9379,0.4783
cca3071e3e9bb7d12640c9fbe2301306,699,0.1860,0.9413,0.7053
"1900267e848ceeba8fa32d80c1a5f5a8",406,0.1847,0.8966,0.7734
"4a3ca9315b744ce9f8e9374361493884",1772,0.1817,0.8900,1.0903
"4e922959ae960d389249c378d1c939f5",412,0.1796,0.8932,0.6311
"4c2b230173bb36f9b240f2b8ac11786e",258,0.1783,0.8992,0.8372
e5a3438891c0bfdb9394643f95273d8e,216,0.1713,0.8148,1.9259
"7d13fca15225358621be4086e1eb0964",558,0.1703,0.8781,1.3082
"8160255418d5aaa7dbdc9f4c64ebda44",380,0.1684,0.8342,1.7211
"1025f0e2d44d7041d6cf58b6550e0bfa",910,0.1659,0.8989,0.6022
