"category","total_orders","delivered_orders","reviewed_orders","delivery_rate_pct","review_rate_pct"
"bed_bath_table",9417,9272,9177,98.46,98.98
"health_beauty",8836,8647,8601,97.86,99.47
"sports_leisure",7720,7530,7486,97.54,99.42
"computers_accessories",6689,6530,6499,97.62,99.53
"furniture_decor",6449,6307,6260,97.80,99.25
"housewares",5884,5743,5709,97.60,99.41
"watches_gifts",5624,5495,5454,97.71,99.25
"telephony",4199,4093,4068,97.48,99.39
"auto",3897,3810,3792,97.77,99.53
"toys",3886,3804,3774,97.89,99.21
