"ym","orders","buyers","item_gmv","paid_gmv","aov","ontime_rate","bad_review_rate"
"2016-09",1,1,143.46,0.00,143.460000,0.00000000,1.00000000
"2016-10",265,263,46490.66,46566.71,175.436453,0.99170000,0.17220000
"2016-12",1,1,19.62,19.62,19.620000,1.00000000,0.00000000
"2017-01",750,720,127482.37,127545.67,169.976493,0.95462593,0.13983704
"2017-02",1653,1637,271239.32,271298.65,164.089123,0.96727143,0.11605714
"2017-03",2546,2513,414330.95,414369.39,162.738001,0.94445161,0.11180323
"2017-04",2303,2281,390812.40,390952.18,169.697091,0.92210000,0.12734000
"2017-05",3546,3501,566851.40,567066.73,159.856571,0.96364839,0.09870645
"2017-06",3135,3088,490050.37,490225.60,156.315907,0.96072667,0.10406000
"2017-07",3872,3819,566299.08,566403.93,146.254928,0.96691935,0.09768387
"2017-08",4193,4131,645832.36,646000.61,154.026320,0.96744839,0.09294839
"2017-09",4150,4105,701077.49,701169.99,168.934335,0.95158333,0.09885333
"2017-10",4478,4433,751117.01,751140.27,167.734929,0.94843226,0.10916129
"2017-11",7289,7216,1153364.20,1153528.05,158.233530,0.88757000,0.14395667
"2017-12",5513,5468,843078.29,843199.17,152.925502,0.92582258,0.13631290
"2018-01",7069,7000,1077887.46,1078606.86,152.480897,0.93521613,0.13510000
"2018-02",6555,6430,966168.41,966510.88,147.394113,0.84488929,0.18779643
"2018-03",7003,6938,1120598.24,1120678.00,160.016884,0.78920968,0.20823871
"2018-04",6798,6773,1132878.93,1132933.95,166.648857,0.94753000,0.11843667
"2018-05",6749,6729,1128774.52,1128836.69,167.250633,0.92784516,0.10485806
"2018-06",6099,6082,1011978.29,1012090.68,165.925281,0.98694667,0.09994000
"2018-07",6159,6122,1027807.28,1027903.86,166.878922,0.95688710,0.09733226
"2018-08",6351,6337,985491.64,985414.28,155.171097,0.91335172,0.09381034
